ds,yhat,STATE_ALPHA,y,residual,percentage_error
2016-01-01,293179.60124308674,AL,330000.0,36820.39875691326,11.157696593004019
2017-01-01,297685.4266242641,AL,250000.0,47685.4266242641,19.07417064970564
2018-01-01,301297.16593775287,AL,255000.0,46297.16593775287,18.15575134813838
2019-01-01,304686.3094998896,AL,320000.0,15313.690500110388,4.785528281284496
2020-01-01,307845.2205204336,AL,330000.0,22154.77947956638,6.713569539262538
2021-01-01,312392.1443224612,AL,350000.0,37607.855677538784,10.745101622153937
2022-01-01,316000.83728957863,AL,300000.0,16000.83728957863,5.333612429859544
2016-01-01,69215.70703510092,AZ,95000.0,25784.292964899083,27.141361015683245
2017-01-01,71614.58279730742,AZ,65000.0,6614.582797307419,10.176281226626799
2018-01-01,72521.60556394761,AZ,80000.0,7478.394436052389,9.347993045065486
2019-01-01,73365.34240279524,AZ,90000.0,16634.657597204758,18.482952885783064
2020-01-01,74143.68411223973,AZ,75000.0,856.3158877602691,1.1417545170136922
2021-01-01,76624.00600387748,AZ,95000.0,18375.993996122517,19.343151574865807
2022-01-01,77507.34662301154,AZ,85000.0,7492.653376988455,8.81488632586877
2016-01-01,678905.095044578,AR,760000.0,81094.90495542204,10.670382230976584
2017-01-01,698772.3779998816,AR,620000.0,78772.37799988163,12.705222258045424
2018-01-01,731309.1773179696,AR,660000.0,71309.17731796962,10.804420805752972
2019-01-01,763609.4582321953,AR,770000.0,6390.541767804651,0.8299404893252793
2020-01-01,795607.9635825077,AR,620000.0,175607.96358250768,28.323865093952854
2021-01-01,813931.3266673305,AR,850000.0,36068.67333266954,4.2433733332552395
2022-01-01,847064.3482770356,AR,710000.0,137064.34827703563,19.304837785497977
2016-01-01,581106.8832920967,CA,420000.0,161106.88329209667,38.358781736213494
2017-01-01,571722.7097331395,CA,430000.0,141722.7097331395,32.95876970538127
2018-01-01,576733.9198676824,CA,430000.0,146733.9198676824,34.124167411088926
2019-01-01,581358.622165176,CA,480000.0,101358.62216517597,21.116379617744993
2020-01-01,585590.2206715915,CA,440000.0,145590.22067159147,33.08868651627079
2021-01-01,576125.1378302345,CA,400000.0,176125.13783023448,44.03128445755862
2022-01-01,581166.4086966314,CA,370000.0,211166.40869663144,57.07200235044093
2016-01-01,1316688.8530285116,CO,1340000.0,23311.14697148837,1.7396378336931622
2017-01-01,1228290.8421373763,CO,1460000.0,231709.1578626237,15.870490264563268
2018-01-01,1268038.0923793174,CO,1460000.0,191961.9076206826,13.148075864430316
2019-01-01,1307276.640926458,CO,1550000.0,242723.35907354206,15.659571553131746
2020-01-01,1345952.7379723014,CO,1420000.0,74047.26202769857,5.214595917443561
2021-01-01,1255438.8958232347,CO,1380000.0,124561.10417676531,9.02616696933082
2022-01-01,1295910.7447260255,CO,1350000.0,54089.2552739745,4.006611501775889
2016-01-01,22868.566097718485,CT,25000.0,2131.4339022815147,8.525735609126059
2017-01-01,22543.39931912729,CT,24000.0,1456.6006808727107,6.069169503636294
2018-01-01,21785.362728028616,CT,23000.0,1214.6372719713836,5.281031617266885
2019-01-01,21018.354151527423,CT,23000.0,1981.6458484725772,8.615851515098162
2020-01-01,20243.870684435104,CT,24000.0,3756.1293155648964,15.650538814853734
2021-01-01,19879.42933694771,CT,24000.0,4120.570663052291,17.169044429384545
2022-01-01,19132.656052236227,CT,25000.0,5867.343947763773,23.469375791055093
2016-01-01,179066.72508176917,DE,170000.0,9066.725081769167,5.3333676951583335
2017-01-01,181109.0486806608,DE,180000.0,1109.0486806608096,0.616138155922672
2018-01-01,181469.66363194704,DE,170000.0,11469.663631947042,6.746860959968847
2019-01-01,181697.7196735237,DE,185000.0,3302.2803264762915,1.7850163926898872
2020-01-01,181792.3070447212,DE,180000.0,1792.3070447212085,0.9957261359562269
2021-01-01,183855.24548341305,DE,175000.0,8855.245483413048,5.060140276236027
2022-01-01,184210.94397121255,DE,170000.0,14210.943971212546,8.359378806595615
2016-01-01,64806.83268435509,FL,80000.0,15193.16731564491,18.99145914455614
2017-01-01,61902.492778530126,FL,75000.0,13097.507221469874,17.46334296195983
2018-01-01,60586.45658783315,FL,95000.0,34413.54341216685,36.224782539123
2019-01-01,59206.06658654406,FL,95000.0,35793.93341345594,37.677824645743094
2020-01-01,57764.50999965856,FL,100000.0,42235.49000034144,42.235490000341436
2021-01-01,54987.53250939045,FL,95000.0,40012.46749060955,42.11838683222059
2022-01-01,53624.206717451874,FL,85000.0,31375.793282548126,36.91269797946838
2016-01-01,347383.5563141654,GA,410000.0,62616.44368583459,15.272303338008436
2017-01-01,355499.9282534223,GA,290000.0,65499.92825342232,22.58618215635252
2018-01-01,350843.84232044645,GA,325000.0,25843.84232044645,7.951951483214293
2019-01-01,345968.809104048,GA,395000.0,49031.19089595199,12.412959720494175
2020-01-01,340882.2432654125,GA,420000.0,79117.75673458748,18.837561127282733
2021-01-01,348815.3768990633,GA,480000.0,131184.6231009367,27.330129812695148
2022-01-01,344215.70418297075,GA,425000.0,80784.29581702925,19.008069604006884
2016-01-01,380147.8179325635,ID,340000.0,40147.817932563485,11.808181744871613
2017-01-01,386696.4591070224,ID,340000.0,46696.45910702238,13.734252678535997
2018-01-01,401295.66252344166,ID,350000.0,51295.66252344166,14.655903578126187
2019-01-01,415756.12792808784,ID,390000.0,25756.127928087837,6.604135366176369
2020-01-01,430049.9883904455,ID,390000.0,40049.98839044548,10.269227792421917
2021-01-01,435842.1177356335,ID,380000.0,55842.11773563351,14.695294140956186
2022-01-01,450727.2462727212,ID,320000.0,130727.24627272121,40.85226446022538
