STATE_ALPHA,mae,mape
AL,31697.164895103488,10.852204351915507
AR,83758.28389047012,12.411720285258045
AZ,11890.98443661927,13.492625798700981
CA,154829.12889379312,37.25001025638557
CO,134629.02757239644,9.237878557766965
CT,2932.623089997021,12.111535325774396
DE,7115.173460028587,4.128089774646801
FL,30303.128876605242,33.08914058620178
GA,70582.58297260126,17.628451034579168
IA,1172332.9365762218,8.891852056866929
ID,55787.91712713079,16.088465680187664
IL,1845344.0739931867,16.811950214970857
IN,636438.4532440325,12.082899492078797
KS,683418.6736387137,11.712479601968289
KY,77636.51284802685,5.544430255342325
LA,58669.48776016612,11.668088511078752
MA,2937.225134004864,20.163316552180003
MD,20510.053904207172,4.47613005380951
ME,2055.8285893698257,6.583422431679021
MI,311176.5573560913,14.02265606784859
MN,627253.3166141531,7.841558916410029
MO,178539.28382307556,5.341453513845775
MS,221976.3711586127,40.559606872363254
MT,3807.8673252034537,3.264420254632699
NC,63009.58306330943,6.624316278663376
ND,616100.6679338607,25.54049240474531
NE,264335.2161750871,2.7025885233579916
NH,1108.100804879279,8.576955185064042
NJ,5021.525497085606,6.465425828625434
NM,9615.868475222442,7.353397279748256
NV,7322.636785939417,54.74447392007918
NY,71837.30304302767,6.980411653899553
OH,245933.35791226503,7.949676859289155
OK,44082.392108326385,12.819315092814064
OR,6775.94390001592,8.067206680320307
PA,71259.49392191251,5.24611357439589
RI,390.59575165326686,19.529787582663342
SC,34467.939792479025,9.13391372213193
SD,839853.8854161871,16.902063968280746
TN,85330.39737867103,10.38571496653826
TX,218319.91115404633,8.594641351365576
UT,6314.788289793544,8.938093612607473
VA,24058.347470119163,4.510815361733466
VT,3039.1409770851337,3.557754845848653
WA,40811.35412410125,25.36315557529461
WI,306561.5574888,7.841638077485249
WV,5773.15312276464,11.545469733926705
WY,2626.089556783178,2.7615137316481926
